protocol,arm,stage,opaque_token,public_trace,probe,probe_reply,grammar,score,session_call,detail
round_o_o5,fixed_grammar_menu,budget_reject,O5-J2,violet,none,none,none,-1,5,persistent_session_budget_reject
round_o_o5,blind_probe_grammar,base,O5-J2,violet,none,none,none,-1,1,public_trace_only;opaque_fresh_token
round_o_o5,blind_probe_grammar,probe,O5-J2,violet,probe_right,1,none,-1,2,allowed_aggregate_reply
round_o_o5,blind_probe_grammar,commit,O5-J2,violet,none,none,grammar_cut,-1,3,public_grammar_frozen_before_evaluator_test
round_o_o5,blind_probe_grammar,fresh_test,O5-J2,violet,none,none,grammar_cut,1,4,evaluator_owned_score_after_commit
round_o_o5,blind_probe_grammar,budget_reject,O5-J2,violet,none,none,none,-1,5,persistent_session_budget_reject
round_o_o5,no_probe_family_prior,base,O5-J2,violet,none,none,none,-1,1,public_trace_only;opaque_fresh_token
round_o_o5,no_probe_family_prior,probe,O5-J2,violet,inert_slot,0,none,-1,2,equal_cost_inert
round_o_o5,no_probe_family_prior,commit,O5-J2,violet,none,none,grammar_parity,-1,3,public_grammar_frozen_before_evaluator_test
round_o_o5,no_probe_family_prior,fresh_test,O5-J2,violet,none,none,grammar_parity,0,4,evaluator_owned_score_after_commit
round_o_o5,no_probe_family_prior,budget_reject,O5-J2,violet,none,none,none,-1,5,persistent_session_budget_reject
round_o_o5,active_closed_loop,base,O5-V7,violet,none,none,none,-1,1,public_trace_only;opaque_fresh_token
round_o_o5,active_closed_loop,probe,O5-V7,violet,probe_right,1,none,-1,2,allowed_aggregate_reply
round_o_o5,active_closed_loop,commit,O5-V7,violet,none,none,grammar_cut,-1,3,public_grammar_frozen_before_evaluator_test
round_o_o5,active_closed_loop,fresh_test,O5-V7,violet,none,none,grammar_cut,1,4,evaluator_owned_score_after_commit
round_o_o5,active_closed_loop,budget_reject,O5-V7,violet,none,none,none,-1,5,persistent_session_budget_reject
round_o_o5,fixed_grammar_menu,base,O5-V7,violet,none,none,none,-1,1,public_trace_only;opaque_fresh_token
round_o_o5,fixed_grammar_menu,probe,O5-V7,violet,probe_left,0,none,-1,2,allowed_aggregate_reply
round_o_o5,fixed_grammar_menu,commit,O5-V7,violet,none,none,grammar_parity,-1,3,public_grammar_frozen_before_evaluator_test
round_o_o5,fixed_grammar_menu,fresh_test,O5-V7,violet,none,none,grammar_parity,0,4,evaluator_owned_score_after_commit
round_o_o5,fixed_grammar_menu,budget_reject,O5-V7,violet,none,none,none,-1,5,persistent_session_budget_reject
round_o_o5,blind_probe_grammar,base,O5-V7,violet,none,none,none,-1,1,public_trace_only;opaque_fresh_token
round_o_o5,blind_probe_grammar,probe,O5-V7,violet,probe_left,0,none,-1,2,allowed_aggregate_reply
round_o_o5,blind_probe_grammar,commit,O5-V7,violet,none,none,grammar_parity,-1,3,public_grammar_frozen_before_evaluator_test
round_o_o5,blind_probe_grammar,fresh_test,O5-V7,violet,none,none,grammar_parity,0,4,evaluator_owned_score_after_commit
round_o_o5,blind_probe_grammar,budget_reject,O5-V7,violet,none,none,none,-1,5,persistent_session_budget_reject
round_o_o5,no_probe_family_prior,base,O5-V7,violet,none,none,none,-1,1,public_trace_only;opaque_fresh_token
round_o_o5,no_probe_family_prior,probe,O5-V7,violet,inert_slot,0,none,-1,2,equal_cost_inert
round_o_o5,no_probe_family_prior,commit,O5-V7,violet,none,none,grammar_parity,-1,3,public_grammar_frozen_before_evaluator_test
round_o_o5,no_probe_family_prior,fresh_test,O5-V7,violet,none,none,grammar_parity,0,4,evaluator_owned_score_after_commit
round_o_o5,no_probe_family_prior,budget_reject,O5-V7,violet,none,none,none,-1,5,persistent_session_budget_reject
round_o_o5,active_closed_loop,base,O5-N6,amber,none,none,none,-1,1,public_trace_only;opaque_fresh_token
round_o_o5,active_closed_loop,probe,O5-N6,amber,probe_left,0,none,-1,2,allowed_aggregate_reply
round_o_o5,active_closed_loop,commit,O5-N6,amber,none,none,grammar_parity,-1,3,public_grammar_frozen_before_evaluator_test
round_o_o5,active_closed_loop,fresh_test,O5-N6,amber,none,none,grammar_parity,1,4,evaluator_owned_score_after_commit
round_o_o5,active_closed_loop,budget_reject,O5-N6,amber,none,none,none,-1,5,persistent_session_budget_reject
round_o_o5,fixed_grammar_menu,base,O5-N6,amber,none,none,none,-1,1,public_trace_only;opaque_fresh_token
round_o_o5,fixed_grammar_menu,probe,O5-N6,amber,probe_left,0,none,-1,2,allowed_aggregate_reply
round_o_o5,fixed_grammar_menu,commit,O5-N6,amber,none,none,grammar_parity,-1,3,public_grammar_frozen_before_evaluator_test
round_o_o5,fixed_grammar_menu,fresh_test,O5-N6,amber,none,none,grammar_parity,1,4,evaluator_owned_score_after_commit
round_o_o5,fixed_grammar_menu,budget_reject,O5-N6,amber,none,none,none,-1,5,persistent_session_budget_reject
round_o_o5,blind_probe_grammar,base,O5-N6,amber,none,none,none,-1,1,public_trace_only;opaque_fresh_token
round_o_o5,blind_probe_grammar,probe,O5-N6,amber,probe_right,0,none,-1,2,allowed_aggregate_reply
round_o_o5,blind_probe_grammar,commit,O5-N6,amber,none,none,grammar_cut,-1,3,public_grammar_frozen_before_evaluator_test
round_o_o5,blind_probe_grammar,fresh_test,O5-N6,amber,none,none,grammar_cut,0,4,evaluator_owned_score_after_commit
round_o_o5,blind_probe_grammar,budget_reject,O5-N6,amber,none,none,none,-1,5,persistent_session_budget_reject
round_o_o5,no_probe_family_prior,base,O5-N6,amber,none,none,none,-1,1,public_trace_only;opaque_fresh_token
round_o_o5,no_probe_family_prior,probe,O5-N6,amber,inert_slot,0,none,-1,2,equal_cost_inert
round_o_o5,no_probe_family_prior,commit,O5-N6,amber,none,none,grammar_parity,-1,3,public_grammar_frozen_before_evaluator_test
round_o_o5,no_probe_family_prior,fresh_test,O5-N6,amber,none,none,grammar_parity,1,4,evaluator_owned_score_after_commit
round_o_o5,no_probe_family_prior,budget_reject,O5-N6,amber,none,none,none,-1,5,persistent_session_budget_reject
round_o_o5,active_closed_loop,base,O5-Q0,violet,none,none,none,-1,1,public_trace_only;opaque_fresh_token
round_o_o5,active_closed_loop,probe,O5-Q0,violet,probe_right,0,none,-1,2,allowed_aggregate_reply
round_o_o5,active_closed_loop,commit,O5-Q0,violet,none,none,grammar_parity,-1,3,public_grammar_frozen_before_evaluator_test
round_o_o5,active_closed_loop,fresh_test,O5-Q0,violet,none,none,grammar_parity,1,4,evaluator_owned_score_after_commit
round_o_o5,active_closed_loop,budget_reject,O5-Q0,violet,none,none,none,-1,5,persistent_session_budget_reject
round_o_o5,fixed_grammar_menu,base,O5-Q0,violet,none,none,none,-1,1,public_trace_only;opaque_fresh_token
round_o_o5,fixed_grammar_menu,probe,O5-Q0,violet,probe_left,0,none,-1,2,allowed_aggregate_reply
round_o_o5,fixed_grammar_menu,commit,O5-Q0,violet,none,none,grammar_parity,-1,3,public_grammar_frozen_before_evaluator_test
round_o_o5,fixed_grammar_menu,fresh_test,O5-Q0,violet,none,none,grammar_parity,1,4,evaluator_owned_score_after_commit
round_o_o5,fixed_grammar_menu,budget_reject,O5-Q0,violet,none,none,none,-1,5,persistent_session_budget_reject
round_o_o5,blind_probe_grammar,base,O5-Q0,violet,none,none,none,-1,1,public_trace_only;opaque_fresh_token
round_o_o5,blind_probe_grammar,probe,O5-Q0,violet,probe_left,0,none,-1,2,allowed_aggregate_reply
round_o_o5,blind_probe_grammar,commit,O5-Q0,violet,none,none,grammar_parity,-1,3,public_grammar_frozen_before_evaluator_test
round_o_o5,blind_probe_grammar,fresh_test,O5-Q0,violet,none,none,grammar_parity,1,4,evaluator_owned_score_after_commit
round_o_o5,blind_probe_grammar,budget_reject,O5-Q0,violet,none,none,none,-1,5,persistent_session_budget_reject
round_o_o5,no_probe_family_prior,base,O5-Q0,violet,none,none,none,-1,1,public_trace_only;opaque_fresh_token
round_o_o5,no_probe_family_prior,probe,O5-Q0,violet,inert_slot,0,none,-1,2,equal_cost_inert
round_o_o5,no_probe_family_prior,commit,O5-Q0,violet,none,none,grammar_parity,-1,3,public_grammar_frozen_before_evaluator_test
round_o_o5,no_probe_family_prior,fresh_test,O5-Q0,violet,none,none,grammar_parity,1,4,evaluator_owned_score_after_commit
round_o_o5,no_probe_family_prior,budget_reject,O5-Q0,violet,none,none,none,-1,5,persistent_session_budget_reject
round_o_o5,active_closed_loop,base,O5-E9,amber,none,none,none,-1,1,public_trace_only;opaque_fresh_token
round_o_o5,active_closed_loop,probe,O5-E9,amber,probe_left,1,none,-1,2,allowed_aggregate_reply
round_o_o5,active_closed_loop,commit,O5-E9,amber,none,none,grammar_cut,-1,3,public_grammar_frozen_before_evaluator_test
round_o_o5,active_closed_loop,fresh_test,O5-E9,amber,none,none,grammar_cut,1,4,evaluator_owned_score_after_commit
round_o_o5,active_closed_loop,budget_reject,O5-E9,amber,none,none,none,-1,5,persistent_session_budget_reject
round_o_o5,fixed_grammar_menu,base,O5-E9,amber,none,none,none,-1,1,public_trace_only;opaque_fresh_token
round_o_o5,fixed_grammar_menu,probe,O5-E9,amber,probe_left,1,none,-1,2,allowed_aggregate_reply
round_o_o5,fixed_grammar_menu,commit,O5-E9,amber,none,none,grammar_parity,-1,3,public_grammar_frozen_before_evaluator_test
round_o_o5,fixed_grammar_menu,fresh_test,O5-E9,amber,none,none,grammar_parity,0,4,evaluator_owned_score_after_commit
round_o_o5,fixed_grammar_menu,budget_reject,O5-E9,amber,none,none,none,-1,5,persistent_session_budget_reject
round_o_o5,blind_probe_grammar,base,O5-E9,amber,none,none,none,-1,1,public_trace_only;opaque_fresh_token
round_o_o5,blind_probe_grammar,probe,O5-E9,amber,probe_right,0,none,-1,2,allowed_aggregate_reply
round_o_o5,blind_probe_grammar,commit,O5-E9,amber,none,none,grammar_cut,-1,3,public_grammar_frozen_before_evaluator_test
round_o_o5,blind_probe_grammar,fresh_test,O5-E9,amber,none,none,grammar_cut,1,4,evaluator_owned_score_after_commit
round_o_o5,blind_probe_grammar,budget_reject,O5-E9,amber,none,none,none,-1,5,persistent_session_budget_reject
round_o_o5,no_probe_family_prior,base,O5-E9,amber,none,none,none,-1,1,public_trace_only;opaque_fresh_token
round_o_o5,no_probe_family_prior,probe,O5-E9,amber,inert_slot,0,none,-1,2,equal_cost_inert
round_o_o5,no_probe_family_prior,commit,O5-E9,amber,none,none,grammar_parity,-1,3,public_grammar_frozen_before_evaluator_test
round_o_o5,no_probe_family_prior,fresh_test,O5-E9,amber,none,none,grammar_parity,0,4,evaluator_owned_score_after_commit
round_o_o5,no_probe_family_prior,budget_reject,O5-E9,amber,none,none,none,-1,5,persistent_session_budget_reject
round_o_o5,active_closed_loop,base,O5-T3,amber,none,none,none,-1,1,public_trace_only;opaque_fresh_token
round_o_o5,active_closed_loop,probe,O5-T3,amber,probe_left,1,none,-1,2,allowed_aggregate_reply
round_o_o5,active_closed_loop,commit,O5-T3,amber,none,none,grammar_cut,-1,3,public_grammar_frozen_before_evaluator_test
round_o_o5,active_closed_loop,fresh_test,O5-T3,amber,none,none,grammar_cut,1,4,evaluator_owned_score_after_commit
round_o_o5,active_closed_loop,budget_reject,O5-T3,amber,none,none,none,-1,5,persistent_session_budget_reject
round_o_o5,fixed_grammar_menu,base,O5-T3,amber,none,none,none,-1,1,public_trace_only;opaque_fresh_token
round_o_o5,fixed_grammar_menu,probe,O5-T3,amber,probe_left,1,none,-1,2,allowed_aggregate_reply
round_o_o5,fixed_grammar_menu,commit,O5-T3,amber,none,none,grammar_parity,-1,3,public_grammar_frozen_before_evaluator_test
round_o_o5,fixed_grammar_menu,fresh_test,O5-T3,amber,none,none,grammar_parity,0,4,evaluator_owned_score_after_commit
round_o_o5,fixed_grammar_menu,budget_reject,O5-T3,amber,none,none,none,-1,5,persistent_session_budget_reject
round_o_o5,blind_probe_grammar,base,O5-T3,amber,none,none,none,-1,1,public_trace_only;opaque_fresh_token
round_o_o5,blind_probe_grammar,probe,O5-T3,amber,probe_left,1,none,-1,2,allowed_aggregate_reply
round_o_o5,blind_probe_grammar,commit,O5-T3,amber,none,none,grammar_parity,-1,3,public_grammar_frozen_before_evaluator_test
round_o_o5,blind_probe_grammar,fresh_test,O5-T3,amber,none,none,grammar_parity,0,4,evaluator_owned_score_after_commit
round_o_o5,blind_probe_grammar,budget_reject,O5-T3,amber,none,none,none,-1,5,persistent_session_budget_reject
round_o_o5,no_probe_family_prior,base,O5-T3,amber,none,none,none,-1,1,public_trace_only;opaque_fresh_token
round_o_o5,no_probe_family_prior,probe,O5-T3,amber,inert_slot,0,none,-1,2,equal_cost_inert
round_o_o5,no_probe_family_prior,commit,O5-T3,amber,none,none,grammar_parity,-1,3,public_grammar_frozen_before_evaluator_test
round_o_o5,no_probe_family_prior,fresh_test,O5-T3,amber,none,none,grammar_parity,0,4,evaluator_owned_score_after_commit
round_o_o5,no_probe_family_prior,budget_reject,O5-T3,amber,none,none,none,-1,5,persistent_session_budget_reject
round_o_o5,active_closed_loop,base,O5-A5,violet,none,none,none,-1,1,public_trace_only;opaque_fresh_token
round_o_o5,active_closed_loop,probe,O5-A5,violet,probe_right,0,none,-1,2,allowed_aggregate_reply
round_o_o5,active_closed_loop,commit,O5-A5,violet,none,none,grammar_parity,-1,3,public_grammar_frozen_before_evaluator_test
round_o_o5,active_closed_loop,fresh_test,O5-A5,violet,none,none,grammar_parity,1,4,evaluator_owned_score_after_commit
round_o_o5,active_closed_loop,budget_reject,O5-A5,violet,none,none,none,-1,5,persistent_session_budget_reject
round_o_o5,fixed_grammar_menu,base,O5-A5,violet,none,none,none,-1,1,public_trace_only;opaque_fresh_token
round_o_o5,fixed_grammar_menu,probe,O5-A5,violet,probe_left,0,none,-1,2,allowed_aggregate_reply
round_o_o5,fixed_grammar_menu,commit,O5-A5,violet,none,none,grammar_parity,-1,3,public_grammar_frozen_before_evaluator_test
round_o_o5,fixed_grammar_menu,fresh_test,O5-A5,violet,none,none,grammar_parity,1,4,evaluator_owned_score_after_commit
round_o_o5,fixed_grammar_menu,budget_reject,O5-A5,violet,none,none,none,-1,5,persistent_session_budget_reject
round_o_o5,blind_probe_grammar,base,O5-A5,violet,none,none,none,-1,1,public_trace_only;opaque_fresh_token
round_o_o5,blind_probe_grammar,probe,O5-A5,violet,probe_right,0,none,-1,2,allowed_aggregate_reply
round_o_o5,blind_probe_grammar,commit,O5-A5,violet,none,none,grammar_cut,-1,3,public_grammar_frozen_before_evaluator_test
round_o_o5,blind_probe_grammar,fresh_test,O5-A5,violet,none,none,grammar_cut,0,4,evaluator_owned_score_after_commit
round_o_o5,blind_probe_grammar,budget_reject,O5-A5,violet,none,none,none,-1,5,persistent_session_budget_reject
round_o_o5,no_probe_family_prior,base,O5-A5,violet,none,none,none,-1,1,public_trace_only;opaque_fresh_token
round_o_o5,no_probe_family_prior,probe,O5-A5,violet,inert_slot,0,none,-1,2,equal_cost_inert
round_o_o5,no_probe_family_prior,commit,O5-A5,violet,none,none,grammar_parity,-1,3,public_grammar_frozen_before_evaluator_test
round_o_o5,no_probe_family_prior,fresh_test,O5-A5,violet,none,none,grammar_parity,1,4,evaluator_owned_score_after_commit
round_o_o5,no_probe_family_prior,budget_reject,O5-A5,violet,none,none,none,-1,5,persistent_session_budget_reject
round_o_o5,active_closed_loop,base,O5-R1,amber,none,none,none,-1,1,public_trace_only;opaque_fresh_token
round_o_o5,active_closed_loop,probe,O5-R1,amber,probe_left,0,none,-1,2,allowed_aggregate_reply
round_o_o5,active_closed_loop,commit,O5-R1,amber,none,none,grammar_parity,-1,3,public_grammar_frozen_before_evaluator_test
round_o_o5,active_closed_loop,fresh_test,O5-R1,amber,none,none,grammar_parity,1,4,evaluator_owned_score_after_commit
round_o_o5,active_closed_loop,budget_reject,O5-R1,amber,none,none,none,-1,5,persistent_session_budget_reject
round_o_o5,fixed_grammar_menu,base,O5-R1,amber,none,none,none,-1,1,public_trace_only;opaque_fresh_token
round_o_o5,fixed_grammar_menu,probe,O5-R1,amber,probe_left,0,none,-1,2,allowed_aggregate_reply
round_o_o5,fixed_grammar_menu,commit,O5-R1,amber,none,none,grammar_parity,-1,3,public_grammar_frozen_before_evaluator_test
round_o_o5,fixed_grammar_menu,fresh_test,O5-R1,amber,none,none,grammar_parity,1,4,evaluator_owned_score_after_commit
round_o_o5,fixed_grammar_menu,budget_reject,O5-R1,amber,none,none,none,-1,5,persistent_session_budget_reject
round_o_o5,blind_probe_grammar,base,O5-R1,amber,none,none,none,-1,1,public_trace_only;opaque_fresh_token
round_o_o5,blind_probe_grammar,probe,O5-R1,amber,probe_left,0,none,-1,2,allowed_aggregate_reply
round_o_o5,blind_probe_grammar,commit,O5-R1,amber,none,none,grammar_parity,-1,3,public_grammar_frozen_before_evaluator_test
round_o_o5,blind_probe_grammar,fresh_test,O5-R1,amber,none,none,grammar_parity,1,4,evaluator_owned_score_after_commit
round_o_o5,blind_probe_grammar,budget_reject,O5-R1,amber,none,none,none,-1,5,persistent_session_budget_reject
round_o_o5,no_probe_family_prior,base,O5-R1,amber,none,none,none,-1,1,public_trace_only;opaque_fresh_token
round_o_o5,no_probe_family_prior,probe,O5-R1,amber,inert_slot,0,none,-1,2,equal_cost_inert
round_o_o5,no_probe_family_prior,commit,O5-R1,amber,none,none,grammar_parity,-1,3,public_grammar_frozen_before_evaluator_test
round_o_o5,no_probe_family_prior,fresh_test,O5-R1,amber,none,none,grammar_parity,1,4,evaluator_owned_score_after_commit
round_o_o5,no_probe_family_prior,budget_reject,O5-R1,amber,none,none,none,-1,5,persistent_session_budget_reject
round_o_o5,active_closed_loop,base,O5-L7,violet,none,none,none,-1,1,public_trace_only;opaque_fresh_token
round_o_o5,active_closed_loop,probe,O5-L7,violet,probe_right,1,none,-1,2,allowed_aggregate_reply
round_o_o5,active_closed_loop,commit,O5-L7,violet,none,none,grammar_cut,-1,3,public_grammar_frozen_before_evaluator_test
round_o_o5,active_closed_loop,fresh_test,O5-L7,violet,none,none,grammar_cut,1,4,evaluator_owned_score_after_commit
round_o_o5,active_closed_loop,budget_reject,O5-L7,violet,none,none,none,-1,5,persistent_session_budget_reject
round_o_o5,fixed_grammar_menu,base,O5-L7,violet,none,none,none,-1,1,public_trace_only;opaque_fresh_token
round_o_o5,fixed_grammar_menu,probe,O5-L7,violet,probe_left,0,none,-1,2,allowed_aggregate_reply
round_o_o5,fixed_grammar_menu,commit,O5-L7,violet,none,none,grammar_parity,-1,3,public_grammar_frozen_before_evaluator_test
round_o_o5,fixed_grammar_menu,fresh_test,O5-L7,violet,none,none,grammar_parity,0,4,evaluator_owned_score_after_commit
round_o_o5,fixed_grammar_menu,budget_reject,O5-L7,violet,none,none,none,-1,5,persistent_session_budget_reject
round_o_o5,blind_probe_grammar,base,O5-L7,violet,none,none,none,-1,1,public_trace_only;opaque_fresh_token
round_o_o5,blind_probe_grammar,probe,O5-L7,violet,probe_right,1,none,-1,2,allowed_aggregate_reply
round_o_o5,blind_probe_grammar,commit,O5-L7,violet,none,none,grammar_cut,-1,3,public_grammar_frozen_before_evaluator_test
round_o_o5,blind_probe_grammar,fresh_test,O5-L7,violet,none,none,grammar_cut,1,4,evaluator_owned_score_after_commit
round_o_o5,blind_probe_grammar,budget_reject,O5-L7,violet,none,none,none,-1,5,persistent_session_budget_reject
round_o_o5,no_probe_family_prior,base,O5-L7,violet,none,none,none,-1,1,public_trace_only;opaque_fresh_token
round_o_o5,no_probe_family_prior,probe,O5-L7,violet,inert_slot,0,none,-1,2,equal_cost_inert
round_o_o5,no_probe_family_prior,commit,O5-L7,violet,none,none,grammar_parity,-1,3,public_grammar_frozen_before_evaluator_test
