protocol,arm,stage,opaque_token,public_trace,public_probe,public_reply,candidate,observed_score,session_call,detail
round_o_o2,blind_probe,probe,O2-H1,violet,probe_right,0,none,-1,2,evaluator_reply
round_o_o2,blind_probe,route,O2-H1,violet,none,none,candidate_a,1,3,candidate_scored;budget_enforced
round_o_o2,blind_probe,budget_reject,O2-H1,violet,none,none,none,-1,4,rejected_persistent_session_budget
round_o_o2,family_prior,base,O2-H1,violet,none,none,none,-1,1,base_trace_only
round_o_o2,family_prior,probe,O2-H1,violet,inert_slot,0,none,-1,2,equal_cost_inert
round_o_o2,family_prior,route,O2-H1,violet,none,none,candidate_a,1,3,candidate_scored;budget_enforced
round_o_o2,family_prior,budget_reject,O2-H1,violet,none,none,none,-1,4,rejected_persistent_session_budget
round_o_o2,no_probe,base,O2-H1,violet,none,none,none,-1,1,base_trace_only
round_o_o2,no_probe,probe,O2-H1,violet,inert_slot,0,none,-1,2,equal_cost_inert
round_o_o2,no_probe,route,O2-H1,violet,none,none,candidate_a,1,3,candidate_scored;budget_enforced
round_o_o2,no_probe,budget_reject,O2-H1,violet,none,none,none,-1,4,rejected_persistent_session_budget
round_o_o2,learned_probe,base,O2-B8,violet,none,none,none,-1,1,base_trace_only
round_o_o2,learned_probe,probe,O2-B8,violet,probe_right,1,none,-1,2,evaluator_reply
round_o_o2,learned_probe,route,O2-B8,violet,none,none,candidate_b,1,3,candidate_scored;budget_enforced
round_o_o2,learned_probe,budget_reject,O2-B8,violet,none,none,none,-1,4,rejected_persistent_session_budget
round_o_o2,fixed_probe,base,O2-B8,violet,none,none,none,-1,1,base_trace_only
round_o_o2,fixed_probe,probe,O2-B8,violet,probe_left,0,none,-1,2,evaluator_reply
round_o_o2,fixed_probe,route,O2-B8,violet,none,none,candidate_a,0,3,candidate_scored;budget_enforced
round_o_o2,fixed_probe,budget_reject,O2-B8,violet,none,none,none,-1,4,rejected_persistent_session_budget
round_o_o2,blind_probe,base,O2-B8,violet,none,none,none,-1,1,base_trace_only
round_o_o2,blind_probe,probe,O2-B8,violet,probe_left,0,none,-1,2,evaluator_reply
round_o_o2,blind_probe,route,O2-B8,violet,none,none,candidate_a,0,3,candidate_scored;budget_enforced
round_o_o2,blind_probe,budget_reject,O2-B8,violet,none,none,none,-1,4,rejected_persistent_session_budget
round_o_o2,family_prior,base,O2-B8,violet,none,none,none,-1,1,base_trace_only
round_o_o2,family_prior,probe,O2-B8,violet,inert_slot,0,none,-1,2,equal_cost_inert
round_o_o2,family_prior,route,O2-B8,violet,none,none,candidate_a,0,3,candidate_scored;budget_enforced
round_o_o2,family_prior,budget_reject,O2-B8,violet,none,none,none,-1,4,rejected_persistent_session_budget
round_o_o2,no_probe,base,O2-B8,violet,none,none,none,-1,1,base_trace_only
round_o_o2,no_probe,probe,O2-B8,violet,inert_slot,0,none,-1,2,equal_cost_inert
round_o_o2,no_probe,route,O2-B8,violet,none,none,candidate_a,0,3,candidate_scored;budget_enforced
round_o_o2,no_probe,budget_reject,O2-B8,violet,none,none,none,-1,4,rejected_persistent_session_budget
round_o_o2,learned_probe,base,O2-R3,amber,none,none,none,-1,1,base_trace_only
round_o_o2,learned_probe,probe,O2-R3,amber,probe_left,0,none,-1,2,evaluator_reply
round_o_o2,learned_probe,route,O2-R3,amber,none,none,candidate_a,1,3,candidate_scored;budget_enforced
round_o_o2,learned_probe,budget_reject,O2-R3,amber,none,none,none,-1,4,rejected_persistent_session_budget
round_o_o2,fixed_probe,base,O2-R3,amber,none,none,none,-1,1,base_trace_only
round_o_o2,fixed_probe,probe,O2-R3,amber,probe_left,0,none,-1,2,evaluator_reply
round_o_o2,fixed_probe,route,O2-R3,amber,none,none,candidate_a,1,3,candidate_scored;budget_enforced
round_o_o2,fixed_probe,budget_reject,O2-R3,amber,none,none,none,-1,4,rejected_persistent_session_budget
round_o_o2,blind_probe,base,O2-R3,amber,none,none,none,-1,1,base_trace_only
round_o_o2,blind_probe,probe,O2-R3,amber,probe_right,0,none,-1,2,evaluator_reply
round_o_o2,blind_probe,route,O2-R3,amber,none,none,candidate_a,1,3,candidate_scored;budget_enforced
round_o_o2,blind_probe,budget_reject,O2-R3,amber,none,none,none,-1,4,rejected_persistent_session_budget
round_o_o2,family_prior,base,O2-R3,amber,none,none,none,-1,1,base_trace_only
round_o_o2,family_prior,probe,O2-R3,amber,inert_slot,0,none,-1,2,equal_cost_inert
round_o_o2,family_prior,route,O2-R3,amber,none,none,candidate_a,1,3,candidate_scored;budget_enforced
round_o_o2,family_prior,budget_reject,O2-R3,amber,none,none,none,-1,4,rejected_persistent_session_budget
round_o_o2,no_probe,base,O2-R3,amber,none,none,none,-1,1,base_trace_only
round_o_o2,no_probe,probe,O2-R3,amber,inert_slot,0,none,-1,2,equal_cost_inert
round_o_o2,no_probe,route,O2-R3,amber,none,none,candidate_a,1,3,candidate_scored;budget_enforced
round_o_o2,no_probe,budget_reject,O2-R3,amber,none,none,none,-1,4,rejected_persistent_session_budget
round_o_o2,learned_probe,base,O2-D6,amber,none,none,none,-1,1,base_trace_only
round_o_o2,learned_probe,probe,O2-D6,amber,probe_left,0,none,-1,2,evaluator_reply
round_o_o2,learned_probe,route,O2-D6,amber,none,none,candidate_a,1,3,candidate_scored;budget_enforced
round_o_o2,learned_probe,budget_reject,O2-D6,amber,none,none,none,-1,4,rejected_persistent_session_budget
round_o_o2,fixed_probe,base,O2-D6,amber,none,none,none,-1,1,base_trace_only
round_o_o2,fixed_probe,probe,O2-D6,amber,probe_left,0,none,-1,2,evaluator_reply
round_o_o2,fixed_probe,route,O2-D6,amber,none,none,candidate_a,1,3,candidate_scored;budget_enforced
round_o_o2,fixed_probe,budget_reject,O2-D6,amber,none,none,none,-1,4,rejected_persistent_session_budget
round_o_o2,blind_probe,base,O2-D6,amber,none,none,none,-1,1,base_trace_only
round_o_o2,blind_probe,probe,O2-D6,amber,probe_left,0,none,-1,2,evaluator_reply
round_o_o2,blind_probe,route,O2-D6,amber,none,none,candidate_a,1,3,candidate_scored;budget_enforced
round_o_o2,blind_probe,budget_reject,O2-D6,amber,none,none,none,-1,4,rejected_persistent_session_budget
round_o_o2,family_prior,base,O2-D6,amber,none,none,none,-1,1,base_trace_only
round_o_o2,family_prior,probe,O2-D6,amber,inert_slot,0,none,-1,2,equal_cost_inert
round_o_o2,family_prior,route,O2-D6,amber,none,none,candidate_a,1,3,candidate_scored;budget_enforced
round_o_o2,family_prior,budget_reject,O2-D6,amber,none,none,none,-1,4,rejected_persistent_session_budget
round_o_o2,no_probe,base,O2-D6,amber,none,none,none,-1,1,base_trace_only
round_o_o2,no_probe,probe,O2-D6,amber,inert_slot,0,none,-1,2,equal_cost_inert
round_o_o2,no_probe,route,O2-D6,amber,none,none,candidate_a,1,3,candidate_scored;budget_enforced
round_o_o2,no_probe,budget_reject,O2-D6,amber,none,none,none,-1,4,rejected_persistent_session_budget
round_o_o2,learned_probe,base,O2-W0,violet,none,none,none,-1,1,base_trace_only
round_o_o2,learned_probe,probe,O2-W0,violet,probe_right,1,none,-1,2,evaluator_reply
round_o_o2,learned_probe,route,O2-W0,violet,none,none,candidate_b,1,3,candidate_scored;budget_enforced
round_o_o2,learned_probe,budget_reject,O2-W0,violet,none,none,none,-1,4,rejected_persistent_session_budget
round_o_o2,fixed_probe,base,O2-W0,violet,none,none,none,-1,1,base_trace_only
round_o_o2,fixed_probe,probe,O2-W0,violet,probe_left,0,none,-1,2,evaluator_reply
round_o_o2,fixed_probe,route,O2-W0,violet,none,none,candidate_a,0,3,candidate_scored;budget_enforced
round_o_o2,fixed_probe,budget_reject,O2-W0,violet,none,none,none,-1,4,rejected_persistent_session_budget
round_o_o2,blind_probe,base,O2-W0,violet,none,none,none,-1,1,base_trace_only
round_o_o2,blind_probe,probe,O2-W0,violet,probe_right,1,none,-1,2,evaluator_reply
round_o_o2,blind_probe,route,O2-W0,violet,none,none,candidate_b,1,3,candidate_scored;budget_enforced
round_o_o2,blind_probe,budget_reject,O2-W0,violet,none,none,none,-1,4,rejected_persistent_session_budget
round_o_o2,family_prior,base,O2-W0,violet,none,none,none,-1,1,base_trace_only
round_o_o2,family_prior,probe,O2-W0,violet,inert_slot,0,none,-1,2,equal_cost_inert
round_o_o2,family_prior,route,O2-W0,violet,none,none,candidate_a,0,3,candidate_scored;budget_enforced
round_o_o2,family_prior,budget_reject,O2-W0,violet,none,none,none,-1,4,rejected_persistent_session_budget
round_o_o2,no_probe,base,O2-W0,violet,none,none,none,-1,1,base_trace_only
round_o_o2,no_probe,probe,O2-W0,violet,inert_slot,0,none,-1,2,equal_cost_inert
round_o_o2,no_probe,route,O2-W0,violet,none,none,candidate_a,0,3,candidate_scored;budget_enforced
round_o_o2,no_probe,budget_reject,O2-W0,violet,none,none,none,-1,4,rejected_persistent_session_budget
round_o_o2,learned_probe,base,O2-F4,amber,none,none,none,-1,1,base_trace_only
round_o_o2,learned_probe,probe,O2-F4,amber,probe_left,1,none,-1,2,evaluator_reply
round_o_o2,learned_probe,route,O2-F4,amber,none,none,candidate_b,1,3,candidate_scored;budget_enforced
round_o_o2,learned_probe,budget_reject,O2-F4,amber,none,none,none,-1,4,rejected_persistent_session_budget
round_o_o2,fixed_probe,base,O2-F4,amber,none,none,none,-1,1,base_trace_only
round_o_o2,fixed_probe,probe,O2-F4,amber,probe_left,1,none,-1,2,evaluator_reply
round_o_o2,fixed_probe,route,O2-F4,amber,none,none,candidate_b,1,3,candidate_scored;budget_enforced
round_o_o2,fixed_probe,budget_reject,O2-F4,amber,none,none,none,-1,4,rejected_persistent_session_budget
round_o_o2,blind_probe,base,O2-F4,amber,none,none,none,-1,1,base_trace_only
round_o_o2,blind_probe,probe,O2-F4,amber,probe_left,1,none,-1,2,evaluator_reply
round_o_o2,blind_probe,route,O2-F4,amber,none,none,candidate_b,1,3,candidate_scored;budget_enforced
round_o_o2,blind_probe,budget_reject,O2-F4,amber,none,none,none,-1,4,rejected_persistent_session_budget
round_o_o2,family_prior,base,O2-F4,amber,none,none,none,-1,1,base_trace_only
round_o_o2,family_prior,probe,O2-F4,amber,inert_slot,0,none,-1,2,equal_cost_inert
round_o_o2,family_prior,route,O2-F4,amber,none,none,candidate_a,0,3,candidate_scored;budget_enforced
round_o_o2,family_prior,budget_reject,O2-F4,amber,none,none,none,-1,4,rejected_persistent_session_budget
round_o_o2,no_probe,base,O2-F4,amber,none,none,none,-1,1,base_trace_only
round_o_o2,no_probe,probe,O2-F4,amber,inert_slot,0,none,-1,2,equal_cost_inert
round_o_o2,no_probe,route,O2-F4,amber,none,none,candidate_a,0,3,candidate_scored;budget_enforced
round_o_o2,no_probe,budget_reject,O2-F4,amber,none,none,none,-1,4,rejected_persistent_session_budget
round_o_o2,learned_probe,base,O2-K2,violet,none,none,none,-1,1,base_trace_only
round_o_o2,learned_probe,probe,O2-K2,violet,probe_right,0,none,-1,2,evaluator_reply
round_o_o2,learned_probe,route,O2-K2,violet,none,none,candidate_a,1,3,candidate_scored;budget_enforced
round_o_o2,learned_probe,budget_reject,O2-K2,violet,none,none,none,-1,4,rejected_persistent_session_budget
round_o_o2,fixed_probe,base,O2-K2,violet,none,none,none,-1,1,base_trace_only
round_o_o2,fixed_probe,probe,O2-K2,violet,probe_left,0,none,-1,2,evaluator_reply
round_o_o2,fixed_probe,route,O2-K2,violet,none,none,candidate_a,1,3,candidate_scored;budget_enforced
round_o_o2,fixed_probe,budget_reject,O2-K2,violet,none,none,none,-1,4,rejected_persistent_session_budget
round_o_o2,blind_probe,base,O2-K2,violet,none,none,none,-1,1,base_trace_only
round_o_o2,blind_probe,probe,O2-K2,violet,probe_right,0,none,-1,2,evaluator_reply
round_o_o2,blind_probe,route,O2-K2,violet,none,none,candidate_a,1,3,candidate_scored;budget_enforced
round_o_o2,blind_probe,budget_reject,O2-K2,violet,none,none,none,-1,4,rejected_persistent_session_budget
round_o_o2,family_prior,base,O2-K2,violet,none,none,none,-1,1,base_trace_only
round_o_o2,family_prior,probe,O2-K2,violet,inert_slot,0,none,-1,2,equal_cost_inert
round_o_o2,family_prior,route,O2-K2,violet,none,none,candidate_a,1,3,candidate_scored;budget_enforced
round_o_o2,family_prior,budget_reject,O2-K2,violet,none,none,none,-1,4,rejected_persistent_session_budget
round_o_o2,no_probe,base,O2-K2,violet,none,none,none,-1,1,base_trace_only
round_o_o2,no_probe,probe,O2-K2,violet,inert_slot,0,none,-1,2,equal_cost_inert
round_o_o2,no_probe,route,O2-K2,violet,none,none,candidate_a,1,3,candidate_scored;budget_enforced
round_o_o2,no_probe,budget_reject,O2-K2,violet,none,none,none,-1,4,rejected_persistent_session_budget
round_o_o2,VERDICT,summary,all,public_only,none,none,none,1,0,CONTROLLED_POSITIVE:learned=12/12;fixed=9/12;blind=9/12;prior=6/12;none=6/12
